term,OR,CI_low,CI_high
const,0.23299261348965197,0.2228158756177721,0.2436341566337137
Dur_30min,1.0272386703498626,1.0221800146740183,1.0323223607523493
IsMIA,1.259760888991525,1.2285298020714146,1.2917859174086728
