airport,post_coef,t_post_coef,wald_chi2,wald_p,n_weeks
MCO,-7.529836765246931,0.0665092952335529,21.63252690726001,2.0070420300828093e-05,158
MIA,-8.231656023687751,-0.01740927451225877,26.494801061000572,1.7649282314031253e-06,158
