MonthLabel,Hour,mean_arrdelay
Jan,0,-1.8571428571428572
Feb,0,
Mar,0,
Apr,0,
May,0,
Jun,0,14.375
Jul,0,39.10204081632653
Aug,0,18.176470588235293
Sep,0,-2.8333333333333335
Oct,0,0.45161290322580644
Nov,0,6.818181818181818
Dec,0,13.695652173913043
Jan,1,
Feb,1,
Mar,1,
Apr,1,
May,1,
Jun,1,
Jul,1,
Aug,1,21.0
Sep,1,
Oct,1,
Nov,1,
Dec,1,
Jan,5,-2.284697508896797
Feb,5,-3.9806201550387597
Mar,5,-2.538699690402477
Apr,5,-3.754385964912281
May,5,-3.173228346456693
Jun,5,-2.6009615384615383
Jul,5,-4.177664974619289
Aug,5,-1.4361702127659575
Sep,5,-7.634328358208955
Oct,5,-4.677852348993288
Nov,5,-2.1538461538461537
Dec,5,-3.4170854271356785
Jan,6,-0.6393869288606131
Feb,6,-0.35139809743441913
Mar,6,-1.4751808431030182
Apr,6,-1.323179576443284
May,6,-3.2953904045155222
Jun,6,-1.835448989186648
Jul,6,-0.5683903252710593
Aug,6,-1.4727891156462585
Sep,6,-4.422542460113227
Oct,6,-1.8778383287920073
Nov,6,-1.2226855713094245
Dec,6,-0.6669046769011068
Jan,7,0.9153206837070723
Feb,7,0.670702993609149
Mar,7,0.921241399502269
Apr,7,0.4640561948886564
May,7,-1.0929186961408768
Jun,7,1.3904173685195582
Jul,7,1.5250879466765415
Aug,7,0.9882039573820396
Sep,7,-1.3462059620596205
Oct,7,0.23359840954274355
Nov,7,-1.4836495761001212
Dec,7,0.16981511254019294
Jan,8,2.252635472535602
Feb,8,2.432140715570658
Mar,8,2.1322240114510644
Apr,8,0.8926982950333581
May,8,1.22646804835924
Jun,8,2.9298573766658875
Jul,8,2.6760345209117062
Aug,8,0.8842105263157894
Sep,8,-1.1867088607594938
Oct,8,1.2868308858360966
Nov,8,-0.16843033509700175
Dec,8,1.8115092290988057
Jan,9,1.594496522527971
Feb,9,2.9191820837390456
Mar,9,2.1398201144726086
Apr,9,1.7984811499864388
May,9,-0.16401920945696344
Jun,9,1.6983546617915906
Jul,9,1.415346708905315
Aug,9,-0.7997091966557616
Sep,9,-2.947907390917186
Oct,9,-0.003450920245398773
Nov,9,-1.0082319255547603
Dec,9,2.5196850393700787
Jan,10,3.39169449081803
Feb,10,5.208529833914292
Mar,10,4.324056423942051
Apr,10,2.616835994194485
May,10,-0.3080663615560641
Jun,10,1.5009191176470589
Jul,10,1.4034732272069466
Aug,10,0.8026932084309133
Sep,10,-1.5910290237467017
Oct,10,0.43684681994625263
Nov,10,0.2193456614509246
Dec,10,3.8013937282229966
Jan,11,6.066450316798022
Feb,11,8.042064032697548
Mar,11,8.006002928257686
Apr,11,4.349148418491485
May,11,1.1588298636037329
Jun,11,3.8168801808590804
Jul,11,5.468027456647399
Aug,11,4.436289876452149
Sep,11,-0.2327250358827148
Oct,11,2.047699530516432
Nov,11,1.678246013667426
Dec,11,7.570662227155013
Jan,12,7.1892160764027055
Feb,12,9.91010984084286
Mar,12,10.84574358974359
Apr,12,7.136935763888889
May,12,2.702644937216137
Jun,12,7.653728860548933
Jul,12,9.256824807845216
Aug,12,6.340373679935012
Sep,12,3.054643261608154
Oct,12,5.223483870967742
Nov,12,4.320828961175236
Dec,12,8.568122166547363
Jan,13,10.262096774193548
Feb,13,11.65547201336675
Mar,13,11.39482836836534
Apr,13,7.644262553124508
May,13,4.700880352140857
Jun,13,15.300958732805336
Jul,13,16.09947325769854
Aug,13,12.46600741656366
Sep,13,6.720539517274018
Oct,13,7.848633646456021
Nov,13,6.047029702970297
Dec,13,11.862893338782182
Jan,14,11.396253902185224
Feb,14,13.705108186482267
Mar,14,14.788188188188188
Apr,14,12.59250493096647
May,14,7.3941742383752
Jun,14,20.254232873144048
Jul,14,22.845943934507567
Aug,14,13.957425494615578
Sep,14,8.573512252042008
Oct,14,11.122015915119363
Nov,14,9.252245316910443
Dec,14,13.718285853420989
Jan,15,12.356665992312362
Feb,15,14.952904564315352
Mar,15,14.924967417613107
Apr,15,9.437415098001164
May,15,10.771353166986565
Jun,15,23.700823892893922
Jul,15,25.847948717948718
Aug,15,17.901133667281837
Sep,15,7.98313760915387
Oct,15,9.857466704448852
Nov,15,9.549030470914127
Dec,15,13.155831265508684
Jan,16,12.634572415193988
Feb,16,14.397322441570228
Mar,16,14.835279399499584
Apr,16,10.950693703308431
May,16,12.66514867398875
Jun,16,28.056064073226544
Jul,16,28.469093766369827
Aug,16,21.42212788538074
Sep,16,10.267941176470588
Oct,16,11.134421134421135
Nov,16,7.701811300351446
Dec,16,13.326928004099411
Jan,17,14.025717111770524
Feb,17,15.790096878363832
Mar,17,16.302792654934965
Apr,17,12.45205757145753
May,17,12.44092664092664
Jun,17,28.503957783641162
Jul,17,27.86198050282196
Aug,17,23.11531291611185
Sep,17,9.815596037072547
Oct,17,11.147244546498278
Nov,17,10.272551189817376
Dec,17,14.971257185703575
Jan,18,12.654217373059168
Feb,18,16.7814612868048
Mar,18,16.391966495336
Apr,18,12.176244435451235
May,18,13.881747426562892
Jun,18,30.04079110012361
Jul,18,29.08172742047829
Aug,18,21.73805016564127
Sep,18,9.41792600312663
Oct,18,11.908021641966597
Nov,18,10.382073228720875
Dec,18,16.213401821153397
Jan,19,12.881494203520825
Feb,19,13.641712508969146
Mar,19,13.93680453495696
Apr,19,12.210205795884082
May,19,8.148792613636363
Jun,19,24.947697974217313
Jul,19,25.65862189576775
Aug,19,17.263953907093985
Sep,19,6.242553191489361
Oct,19,8.549019607843137
Nov,19,8.82649053909318
Dec,19,15.044929797191887
Jan,20,11.887515710096356
Feb,20,11.652417962003454
Mar,20,14.847301528826671
Apr,20,11.399921197793539
May,20,9.009301364200082
Jun,20,23.026260942059192
Jul,20,25.223201763173712
Aug,20,20.193186627168853
Sep,20,6.612009237875289
Oct,20,6.658327698895651
Nov,20,6.598685605257579
Dec,20,12.665729121592385
Jan,21,11.962962962962964
Feb,21,14.6406160867085
Mar,21,14.331944444444444
Apr,21,14.116561437591063
May,21,12.911792014856081
Jun,21,25.474193548387095
Jul,21,25.398190045248867
Aug,21,20.974025974025974
Sep,21,3.7459150326797386
Oct,21,5.1528662420382165
Nov,21,9.74805598755832
Dec,21,18.440113394755492
Jan,22,13.901754385964912
Feb,22,19.882978723404257
Mar,22,19.3875
Apr,22,18.628169014084506
May,22,15.28996282527881
Jun,22,37.78136200716846
Jul,22,38.04666666666667
Aug,22,18.803225806451614
Sep,22,5.945686900958466
Oct,22,5.2926829268292686
Nov,22,8.570212765957447
Dec,22,26.673366834170853
Jan,23,6.887096774193548
Feb,23,5.719298245614035
Mar,23,6.806451612903226
Apr,23,8.628571428571428
May,23,1.175257731958763
Jun,23,29.903225806451612
Jul,23,21.15447154471545
Aug,23,16.080357142857142
Sep,23,1.34375
Oct,23,-5.491228070175438
Nov,23,0.6404494382022472
Dec,23,19.086021505376344
