Airport,Spearman_r_mean,p_value_mean,Spearman_r_prob,p_value_prob
MCO,0.1359368217450676,4.347716504860239e-117,0.16515409493519792,1.2324941684054944e-172
MIA,0.09886297063707496,3.866422750307214e-58,0.10036220626613471,7.20248345756312e-60
