FlightDate,airport,ArrDelay,DepDelay,Cancelled,Diverted,period
2000-01-25,MCO,-3.0,-1.0,False,False,other
2000-01-26,MCO,93.0,87.0,False,False,other
2000-01-27,MCO,151.0,159.0,False,False,other
2000-01-28,MCO,-10.0,-5.0,False,False,other
2000-01-29,MCO,-10.0,-4.0,False,False,other
2000-01-30,MCO,-5.0,3.0,False,False,other
2000-01-31,MCO,-13.0,1.0,False,False,other
2000-01-01,MCO,,,True,False,other
2000-01-02,MCO,-14.0,-1.0,False,False,other
2000-01-03,MCO,-17.0,-4.0,False,False,other
2000-01-04,MCO,-27.0,-6.0,False,False,other
2000-01-05,MCO,-18.0,-6.0,False,False,other
2000-01-06,MCO,-17.0,-6.0,False,False,other
2000-01-07,MCO,-12.0,-5.0,False,False,other
2000-01-08,MCO,-14.0,-3.0,False,False,other
2000-01-09,MCO,-13.0,-3.0,False,False,other
2000-01-10,MCO,-10.0,3.0,False,False,other
2000-01-11,MCO,12.0,-4.0,False,False,other
2000-01-12,MCO,14.0,-2.0,False,False,other
2000-01-13,MCO,-6.0,-2.0,False,False,other
2000-01-14,MCO,-1.0,-1.0,False,False,other
2000-01-15,MCO,-11.0,-2.0,False,False,other
2000-01-16,MCO,-8.0,-1.0,False,False,other
2000-01-17,MCO,5.0,-3.0,False,False,other
2000-01-18,MCO,-7.0,-2.0,False,False,other
2000-01-19,MCO,-5.0,-7.0,False,False,other
2000-01-20,MCO,-5.0,-4.0,False,False,other
2000-01-21,MCO,18.0,11.0,False,False,other
2000-01-22,MCO,88.0,94.0,False,False,other
2000-01-23,MCO,-19.0,-3.0,False,False,other
2000-01-24,MCO,14.0,37.0,False,False,other
2000-01-25,MCO,-17.0,-4.0,False,False,other
2000-01-26,MCO,12.0,6.0,False,False,other
2000-01-27,MCO,-7.0,-3.0,False,False,other
2000-01-28,MCO,2.0,26.0,False,False,other
2000-01-29,MCO,-10.0,-3.0,False,False,other
2000-01-30,MCO,-7.0,-3.0,False,False,other
2000-01-31,MCO,47.0,56.0,False,False,other
2000-01-01,MCO,5.0,0.0,False,False,other
2000-01-02,MCO,-9.0,-1.0,False,False,other
2000-01-03,MCO,-5.0,5.0,False,False,other
2000-01-04,MCO,-7.0,7.0,False,False,other
2000-01-05,MCO,25.0,38.0,False,False,other
2000-01-06,MCO,6.0,6.0,False,False,other
2000-01-07,MCO,-8.0,-2.0,False,False,other
2000-01-08,MCO,-17.0,-3.0,False,False,other
2000-01-09,MCO,-12.0,-3.0,False,False,other
2000-01-10,MCO,54.0,69.0,False,False,other
2000-01-11,MCO,-3.0,-3.0,False,False,other
2000-01-12,MCO,-13.0,-3.0,False,False,other
2000-01-13,MCO,21.0,23.0,False,False,other
2000-01-14,MCO,1.0,-1.0,False,False,other
2000-01-15,MCO,0.0,-6.0,False,False,other
2000-01-16,MCO,2.0,-2.0,False,False,other
2000-01-17,MCO,-2.0,-5.0,False,False,other
2000-01-18,MCO,-2.0,-5.0,False,False,other
2000-01-19,MCO,23.0,20.0,False,False,other
2000-01-20,MCO,105.0,70.0,False,False,other
2000-01-21,MCO,5.0,-1.0,False,False,other
2000-01-22,MCO,1.0,-4.0,False,False,other
2000-01-23,MCO,44.0,50.0,False,False,other
2000-01-24,MCO,-8.0,1.0,False,False,other
2000-01-25,MCO,54.0,-1.0,False,False,other
2000-01-26,MCO,64.0,59.0,False,False,other
2000-01-27,MCO,2.0,-6.0,False,False,other
2000-01-28,MCO,-11.0,-3.0,False,False,other
2000-01-29,MCO,29.0,34.0,False,False,other
2000-01-30,MCO,9.0,18.0,False,False,other
2000-01-31,MCO,41.0,40.0,False,False,other
2000-01-01,MCO,165.0,172.0,False,False,other
2000-01-02,MCO,-9.0,-1.0,False,False,other
2000-01-03,MCO,-17.0,-3.0,False,False,other
2000-01-04,MCO,-2.0,13.0,False,False,other
2000-01-05,MCO,-9.0,-2.0,False,False,other
2000-01-06,MCO,24.0,15.0,False,False,other
2000-01-07,MCO,-8.0,-5.0,False,False,other
2000-01-08,MCO,-13.0,-6.0,False,False,other
2000-01-09,MCO,-4.0,1.0,False,False,other
2000-01-10,MCO,-20.0,-2.0,False,False,other
2000-01-11,MCO,-9.0,-7.0,False,False,other
